,Date,Open,High,Low,Close,Volume,Year,Sentiment,SPY
1332,2015-04-21,568.64,570.39,558.6,560.44,2275082.0,2015,,560.44
1333,2015-04-22,561.48,564.99,556.81,557.68,1727073.0,2015,,557.68
1334,2015-04-23,557.59,562.4,552.69,559.06,1812469.0,2015,,559.06
1335,2015-04-24,561.21,565.66,556.55,558.395,1577891.0,2015,,558.395
1336,2015-04-27,562.05,572.5,561.61,566.08,2178143.0,2015,,566.08
1337,2015-04-28,564.13,568.95,559.61,563.06,1260925.0,2015,,563.06
1338,2015-04-29,560.49,567.3899,557.51,562.85,1362924.0,2015,,562.85
1339,2015-04-30,561.66,565.85,553.87,556.5,1509322.0,2015,,556.5
1340,2015-05-01,558.99,559.77,552.26,557.03,1272298.0,2015,,557.03
1341,2015-05-04,557.0,558.0,552.3,554.9,1138155.0,2015,,554.9
1342,2015-05-05,568.67,577.1,565.3,565.55,3873755.0,2015,1.0,565.55
1343,2015-05-06,567.2,568.5,556.65,560.54,1643501.0,2015,,560.54
1344,2015-05-07,560.8,565.56,556.2,565.24,1460085.0,2015,,565.24
1345,2015-05-08,567.29,575.07,566.75,574.6,1975464.0,2015,,574.6
1346,2015-05-11,576.27,594.0,575.3,589.945,3411769.0,2015,,589.945
1347,2015-05-12,586.66,586.66,580.95,583.64,1700996.0,2015,,583.64
1348,2015-05-13,583.83,589.38,578.84,580.11,1593675.0,2015,,580.11
1349,2015-05-14,583.0,587.47,576.31,586.85,1271237.0,2015,,586.85
1350,2015-05-15,604.55,618.4388,600.29,613.25,5293287.0,2015,,613.25
1351,2015-05-18,612.81,619.739,609.17,617.87,2115992.0,2015,,617.87
1352,2015-05-19,622.22,628.5,614.67,616.48,2728758.0,2015,,616.48
1353,2015-05-20,617.5,623.76,611.54,621.53,1822447.0,2015,,621.53
1354,2015-05-21,623.57,627.0,617.27,623.02,1823860.0,2015,,623.02
1355,2015-05-22,624.25,625.85,620.85,621.87,1066577.0,2015,,621.87
1356,2015-05-26,622.12,623.429,614.504,615.95,1377960.0,2015,0.0,615.95
1357,2015-05-27,617.0,629.35,615.5,629.0,1500916.0,2015,,629.0
1358,2015-05-28,628.0,628.99,622.51,626.55,1117363.0,2015,,626.55
1359,2015-05-29,626.31,631.44,622.69,624.06,1816002.0,2015,,624.06
1360,2015-06-01,621.86,623.852,615.61,623.02,1417976.0,2015,,623.02
1361,2015-06-02,620.98,627.75,618.84,623.91,1075561.0,2015,,623.91
1362,2015-06-03,624.7,628.13,620.51,621.66,891142.0,2015,,621.66
1363,2015-06-04,618.65,626.0,616.3,625.44,1439197.0,2015,,625.44
1364,2015-06-05,624.5,633.78,623.88,633.22,1660621.0,2015,,633.22
1365,2015-06-08,635.0,635.71,622.97,627.23,1592702.0,2015,,627.23
1366,2015-06-09,625.34,649.0,625.34,647.15,3146440.0,2015,,647.15
1367,2015-06-10,653.77,692.79,652.58,671.1,8160197.0,2015,1.0,671.1
1368,2015-06-11,678.23,678.43,658.61,665.66,3803341.0,2015,,665.66
1369,2015-06-12,664.41,667.4,658.87,660.93,1468403.0,2015,,660.93
1370,2015-06-15,650.0,655.14,641.61,654.02,2721993.0,2015,,654.02
1371,2015-06-16,659.7,669.25,655.84,666.91,2291860.0,2015,,666.91
1372,2015-06-17,665.93,665.93,657.702,659.9,1415017.0,2015,,659.9
1373,2015-06-18,662.56,667.39,660.58,663.2,1280446.0,2015,,663.2
1374,2015-06-19,673.7,674.9255,656.75,657.1,2830686.0,2015,,657.1
1375,2015-06-22,665.3,676.85,659.32,674.9,2390415.0,2015,,674.9
1376,2015-06-23,674.35,681.73,670.25,681.19,2232348.0,2015,,681.19
1377,2015-06-24,700.1,706.24,674.78,678.61,11019828.0,2015,0.0,678.61
1378,2015-06-25,668.37,672.0,654.21,664.24,5946172.0,2015,-1.0,664.24
1379,2015-06-26,667.1,667.2,651.62,651.62,4330671.0,2015,,651.62
1380,2015-06-29,640.54,650.39,637.82,645.62,3510841.0,2015,,645.62
1381,2015-06-30,653.5,660.49,649.5,656.94,2411494.0,2015,,656.94
1382,2015-07-01,663.64,666.6699,652.53,655.45,2099917.0,2015,,655.45
1383,2015-07-02,657.99,659.39,652.5,658.31,1579033.0,2015,,658.31
1384,2015-07-06,654.31,664.5,653.38,662.0,1686912.0,2015,,662.0
1385,2015-07-07,665.09,667.99,648.36,658.64,3081896.0,2015,,658.64
1386,2015-07-08,654.3,657.97,645.99,654.55,1855813.0,2015,,654.55
1387,2015-07-09,664.3,670.92,660.0,670.09,2390188.0,2015,,670.09
1388,2015-07-10,682.66,689.5199,678.3,680.6,3090942.0,2015,,680.6
1389,2015-07-13,686.69,716.16,686.5519,707.61,4743573.0,2015,1.0,707.61
1390,2015-07-14,708.9,711.45,697.57,702.6,2819491.0,2015,,702.6
1391,2015-07-15,99.97,100.75,97.05,98.13,30898594.0,2015,1.0,98.13
1392,2015-07-16,111.02,116.49,107.68,115.81,63460992.0,2015,0.0,115.81
1393,2015-07-17,117.34,117.88,114.24,114.77,25136948.0,2015,,114.77
1394,2015-07-20,114.7,114.7,110.14,110.55,22676913.0,2015,,110.55
1395,2015-07-21,110.21,113.71,109.32,112.51,14085422.0,2015,,112.51
1396,2015-07-22,112.14,113.88,110.5608,111.5,10500548.0,2015,,111.5
1397,2015-07-23,110.91,112.18,109.84,110.1,8306774.0,2015,,110.1
1398,2015-07-24,111.55,111.68,108.9,109.34,8125065.0,2015,,109.34
1399,2015-07-27,107.79,109.86,106.25,106.43,11302624.0,2015,,106.43
1400,2015-07-28,107.29,107.94,103.88,106.9,11155945.0,2015,,106.9
1401,2015-07-29,106.83,107.75,105.4,107.08,6695640.0,2015,,107.08
